,Benchmark,Instance #,Cluster #,mo-time
28,C1_FDA_HT_A_rsem_umap.csv,197,3,105.43355774879456
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,104.3141746520996
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,103.42486047744752
28,C1_FDA_HT_A_rsem_umap.csv,197,3,101.10237646102904
28,C1_FDA_HT_A_rsem_umap.csv,197,3,124.10462188720705
28,C1_FDA_HT_A_rsem_umap.csv,197,3,107.2236659526825
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,120.4913408756256
28,C1_FDA_HT_A_rsem_umap.csv,197,3,116.58233737945557
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,105.75039911270142
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,104.09326148033142
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,106.83025312423706
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,174.99204516410828
28,C1_FDA_HT_A_rsem_umap.csv,197,3,103.89870047569276
28,C1_FDA_HT_A_rsem_umap.csv,197,3,136.7530369758606
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,104.53425121307372
28,C1_FDA_HT_A_rsem_umap.csv,197,3,107.57288336753844
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,134.7032129764557
28,C1_FDA_HT_A_rsem_umap.csv,197,3,109.90607976913452
28,C1_FDA_HT_A_rsem_umap.csv,197,3,126.2147295475006
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,122.41688346862792
28,C1_FDA_HT_A_rsem_umap.csv,197,3,138.12401008605957
28,C1_FDA_HT_A_rsem_umap.csv,197,3,109.46111130714417
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,118.5965540409088
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,105.99292516708374
28,C1_FDA_HT_A_rsem_umap.csv,197,3,122.11341953277588
28,C1_FDA_HT_A_rsem_umap.csv,197,3,173.34233212471008
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,137.90588474273682
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,136.00025844573975
28,C1_FDA_HT_A_rsem_umap.csv,197,3,136.29811668395996
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,108.2108075618744
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,118.88195633888245
28,C1_FDA_HT_A_rsem_umap.csv,197,3,120.08137965202332
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,120.38294744491576
28,C1_FDA_HT_A_rsem_umap.csv,197,3,104.21426725387572
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,106.7103009223938
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,105.05196356773376
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,114.4375500679016
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,103.85846376419067
28,C1_FDA_HT_A_rsem_umap.csv,197,3,116.80862927436829
28,C1_FDA_HT_A_rsem_umap.csv,197,3,108.74438977241516
28,C1_FDA_HT_A_rsem_umap.csv,197,3,107.2571623325348
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,105.8905816078186
28,C1_FDA_HT_A_rsem_umap.csv,197,3,122.2108690738678
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,125.55231475830078
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,121.51158285140993
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,127.75252842903136
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,136.79102635383606
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,115.99585151672365
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,121.2232894897461
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,125.17339324951172
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,113.55728149414062
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,121.16386103630066
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,116.38551664352416
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,183.17709732055664
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,156.90958380699158
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,112.36574506759644
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,125.7039999961853
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,122.8322057723999
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,142.8613953590393
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,126.54142785072328
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,120.02982115745544
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,116.10065364837646
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,126.24294662475586
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,155.44506216049194
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,129.73021817207336
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,122.8483235836029
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,114.19056487083436
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,137.73269248008728
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,122.28525686264038
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,132.66023445129397
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,134.1774685382843
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,122.98720788955688
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,157.15713238716123
